country,country_code,series,seriescode,measure,period,D1,D2,D3,data,footnoteref
World,1,Food price index,w100,2002-2004=100,      2009OCT ,,,,156.773366,
World,1,Food price index,w100,2002-2004=100,      2009NOV ,,,,168.637803,
World,1,Food price index,w100,2002-2004=100,      2009DEC ,,,,172.354406,
World,1,Food price index,w100,2002-2004=100,      2008JAN ,,,,193.023726,
World,1,Food price index,w100,2002-2004=100,      2008FEB ,,,,208.666193,
World,1,Food price index,w100,2002-2004=100,      2008MAR ,,,,211.121465,
World,1,Food price index,w100,2002-2004=100,      2008APR ,,,,208.383548,
World,1,Food price index,w100,2002-2004=100,      2008MAY ,,,,209.200828,
World,1,Food price index,w100,2002-2004=100,      2008JUN ,,,,213.54299,
World,1,Food price index,w100,2002-2004=100,      2008JUL ,,,,208.163895,
World,1,Food price index,w100,2002-2004=100,      2008AUG ,,,,196.603277,
World,1,Food price index,w100,2002-2004=100,      2008SEP ,,,,185.234496,
World,1,Food price index,w100,2002-2004=100,      2008OCT ,,,,163.455205,
World,1,Food price index,w100,2002-2004=100,      2008NOV ,,,,150.488165,
World,1,Food price index,w100,2002-2004=100,      2008DEC ,,,,143.33447,
World,1,Food price index,w100,2002-2004=100,      2007JUN ,,,,148.80918,
World,1,Food price index,w100,2002-2004=100,      2007JUL ,,,,154.803055,
World,1,Food price index,w100,2002-2004=100,      2007AUG ,,,,161.259725,
World,1,Food price index,w100,2002-2004=100,      2007SEP ,,,,169.659173,
World,1,Food price index,w100,2002-2004=100,      2007OCT ,,,,173.310238,
World,1,Food price index,w100,2002-2004=100,      2007NOV ,,,,179.799569,
World,1,Food price index,w100,2002-2004=100,      2007DEC ,,,,185.036649,
World,1,Food price index,w100,2002-2004=100,      2007JAN ,,,,130.917411,
World,1,Food price index,w100,2002-2004=100,      2007FEB ,,,,133.434859,
World,1,Food price index,w100,2002-2004=100,      2007MAR ,,,,134.599959,
World,1,Food price index,w100,2002-2004=100,      2007APR ,,,,136.883779,
World,1,Food price index,w100,2002-2004=100,      2007MAY ,,,,140.259812,
World,1,Food price index,w100,2002-2004=100,      2006JAN ,,,,118.74397,
World,1,Food price index,w100,2002-2004=100,      2006FEB ,,,,122.345792,
World,1,Food price index,w100,2002-2004=100,      2006MAR ,,,,119.804212,
World,1,Food price index,w100,2002-2004=100,      2006APR ,,,,120.502614,
World,1,Food price index,w100,2002-2004=100,      2006MAY ,,,,122.705646,
World,1,Food price index,w100,2002-2004=100,      2006JUN ,,,,120.158259,
World,1,Food price index,w100,2002-2004=100,      2006JUL ,,,,122.76975,
